OA;MN;V;I;R
2.50;1;744.4;783.145;17.92
3.20;1;387.01;839.4;14.47
4.00;1;303.73;950.25;15.82
5.00;1;172.91;796.62;16.88
6.50;1;74.53;517.59;19.00
8.00;1;85.57;780.3;21.96
10.00;1;42.85;519.79;25.83
13.00;1;29.56;488.09;32.11
16.00;1;29.81;625.21;38.31
20.00;1;24.02;653.11;46.19
25.00;1;15.53;548.62;55.56
32.00;1;7.8;363.82;68.95
40.00;1;5.25;350.1;75.36
50.00;1;8.96;789.06;89.18
